day,degree
2010/9/24,22.5
2010/9/25,337.5
2010/9/26,337.5
2010/9/27,337.5
2010/9/28,315
2010/9/29,337.5
2010/9/30,0
2010/10/1,0
2010/10/2,67.5
2010/10/3,337.5
2010/10/4,315
2010/10/5,157.5
2010/10/6,337.5
2010/10/7,45
2010/10/8,45
2010/10/9,337.5
2010/10/10,337.5
2010/10/11,157.5
2010/10/12,157.5
2010/10/13,67.5
2010/10/14,45
2010/10/15,22.5
2010/10/16,157.5
2010/10/17,337.5
2010/10/18,67.5
2010/10/19,0
2010/10/20,337.5
2010/10/21,337.5
2010/10/22,22.5
2010/10/23,67.5
2010/10/24,337.5
2010/10/25,315
2010/10/26,45
2010/10/27,337.5
2010/10/28,337.5
2010/10/29,45
2010/10/30,337.5
2010/10/31,337.5
2010/11/1,315
2010/11/2,292.5
2010/11/3,337.5
2010/11/4,337.5
2010/11/5,315
2010/11/6,315
2010/11/7,337.5
2010/11/8,157.5
2010/11/9,315
2010/11/10,315
2010/11/11,315
2010/11/12,202.5
2010/11/13,337.5
2010/11/14,315
2010/11/15,67.5
2010/11/16,45
2010/11/17,337.5
2010/11/18,337.5
2010/11/19,337.5
2010/11/20,337.5
2010/11/21,337.5
2010/11/22,337.5
2010/11/23,337.5
2010/11/24,0
2010/11/25,337.5
2010/11/26,45
2010/11/27,90
2010/11/28,315
2010/11/29,315
2010/11/30,337.5
2010/12/1,315
2010/12/2,337.5
2010/12/3,225
2010/12/4,315
2010/12/5,315
2010/12/6,337.5
2010/12/7,337.5
2010/12/8,337.5
2010/12/9,315
2010/12/10,337.5
2010/12/11,180
2010/12/12,337.5
2010/12/13,337.5
2010/12/14,337.5
2010/12/15,22.5
2010/12/16,45
2010/12/17,337.5
2010/12/18,337.5
2010/12/19,45
2010/12/20,315
2010/12/21,337.5
2010/12/22,315
2010/12/23,315
2010/12/24,315
2010/12/25,202.5
2010/12/26,202.5
2010/12/27,202.5
2010/12/28,315
2010/12/29,337.5
2010/12/30,337.5
2010/12/31,315
2011/1/1,315
2011/1/2,337.5
2011/1/3,337.5
2011/1/4,337.5
2011/1/5,315
2011/1/6,337.5
2011/1/7,337.5
2011/1/8,292.5
2011/1/9,45
2011/1/10,337.5
2011/1/11,337.5
2011/1/12,337.5
2011/1/13,337.5
2011/1/14,0
2011/1/15,315
2011/1/16,315
2011/1/17,315
2011/1/18,315
2011/1/19,337.5
2011/1/20,337.5
2011/1/21,337.5
2011/1/22,337.5
2011/1/23,337.5
2011/1/24,22.5
2011/1/25,337.5
2011/1/26,315
2011/1/27,337.5
2011/1/28,337.5
2011/1/29,135
2011/1/30,337.5
2011/1/31,315
2011/2/1,315
2011/2/2,337.5
2011/2/3,157.5
2011/2/4,315
2011/2/5,337.5
2011/2/6,337.5
2011/2/7,337.5
2011/2/8,337.5
2011/2/9,337.5
2011/2/10,337.5
2011/2/11,337.5
2011/2/12,337.5
2011/2/13,315
2011/2/14,337.5
2011/2/15,337.5
2011/2/16,315
2011/2/17,180
2011/2/18,337.5
2011/2/19,337.5
2011/2/20,337.5
2011/2/21,22.5
2011/2/22,22.5
2011/2/23,337.5
2011/2/24,180
2011/2/25,202.5
2011/2/26,337.5
2011/2/27,45
2011/2/28,337.5
2011/3/1,337.5
2011/3/2,337.5
2011/3/3,337.5
2011/3/4,337.5
2011/3/5,315
2011/3/6,337.5
2011/3/7,337.5
2011/3/8,315
2011/3/9,337.5
2011/3/10,337.5
2011/3/11,337.5
2011/3/12,315
2011/3/13,180
2011/3/14,180
2011/3/15,45
2011/3/16,337.5
2011/3/17,337.5
2011/3/18,315
2011/3/19,225
2011/3/20,337.5
2011/3/21,67.5
2011/3/22,0
2011/3/23,45
2011/3/24,45
2011/3/25,315
2011/3/26,337.5
2011/3/27,337.5
2011/3/28,180
2011/3/29,157.5
2011/3/30,0
2011/3/31,337.5
2011/4/1,180
2011/4/2,315
2011/4/3,337.5
2011/4/4,337.5
2011/4/5,180
2011/4/6,180
2011/4/7,202.5
2011/4/8,202.5
2011/4/9,180
2011/4/10,135
2011/4/11,157.5
2011/4/12,315
2011/4/13,180
2011/4/14,157.5
2011/4/15,202.5
2011/4/16,202.5
2011/4/17,157.5
2011/4/18,135
2011/4/19,22.5
2011/4/20,22.5
2011/4/21,157.5
2011/4/22,180
2011/4/23,180
2011/4/24,337.5
2011/4/25,337.5
2011/4/26,180
2011/4/27,180
2011/4/28,180
2011/4/29,157.5
2011/4/30,202.5
2011/5/1,202.5
2011/5/2,337.5
2011/5/3,0
2011/5/4,180
2011/5/5,45
2011/5/6,45
2011/5/7,337.5
2011/5/8,157.5
2011/5/9,157.5
2011/5/10,180
2011/5/11,67.5
2011/5/12,22.5
2011/5/13,45
